City/Municipality,Longitude,Latitude
Kalookan City,121.03331236282125,14.724493664736775
Las Piñas,120.99387117022818,14.442908762622588
Makati City,121.03359062087853,14.549431267179163
Malabon,120.9577232897692,14.672041910106502
Mandaluyong,121.03904141536272,14.584232358342293
Manila,120.98468685085234,14.599743972766882
Marikina,121.10301321631268,14.64718377226337
Muntinlupa,121.03278463559568,14.401976167670732
Navotas,120.94397357223298,14.663472662335586
Parañaque,121.01450367681511,14.483853793443487
Pasay City,121.00413649669898,14.531090398485215
Pasig City,121.0842382368043,14.582509796664175
Pateros,121.0694143138127,14.547189122758628
Quezon City,121.05749879797959,14.674280590145434
San Juan,121.03381721434319,14.602955279994903
Taguig,121.0660523864691,14.514696939087935
Valenzuela,120.98238025391707,14.704170895880106
