Area,Longitude,Latitude
Abra,120.8055359661926,17.579237507384367
Agusan del Norte,125.5228993646995,9.01450682928931
Agusan del Sur,125.75730046727033,8.403419797528784
Aklan,122.24755570281509,11.6098583893297
Albay,123.61546355466893,13.211273901616162
Antique,122.06934975563914,11.126941337665093
Apayao,121.19696489271777,18.092312625243547
Aurora,121.70462528192782,15.926883390336437
Basilan,122.02142871749705,6.57941877037333
Bataan,120.44927422884977,14.664498793066924
Batanes,121.88752904575173,20.54981848807222
Batangas,121.0301277240317,13.899932051869277
Benguet,120.70419353026922,16.53916640062429
Biliran,124.47294309517069,11.596806879010249
Bohol,124.19754654161027,9.853907194962504
Bukidnon,124.99848723795381,8.020062792140614
Bulacan,121.06517988188169,14.970806397166454
Cagayan,121.76308079992135,18.099512438877163
Camarines Norte,122.72846330837723,14.143982022008979
Camarines Sur,123.26312763354663,13.7051732783519
Camiguin,124.71772232417933,9.171867616027406
Capiz,122.63604205828833,11.36821330003054
Catanduanes,124.23689662330018,13.783566630735367
Cavite,120.87228002362674,14.253390247001606
Cebu,123.75565646536161,10.35656912719836
Compostela Valley,126.01759200465732,7.577300285350845
Davao del Norte,125.63732584491547,7.58221986742881
Davao del Sur,125.41874456598362,6.696979446929637
Davao Oriental,126.29727988752246,7.256907260536501
Dinagat Islands,125.60185592349777,10.16993242627594
Eastern Samar,125.38031342210869,11.656410300748863
Guimaras,122.61350524352002,10.568121463993057
Ifugao,121.2143489465976,16.851982879131086
Ilocos Norte,120.73077052485748,18.1997381415942
Ilocos Sur,120.55167047121795,17.22123838186113
Iloilo,122.6036946704713,11.005755754623141
Isabela,121.96092586687867,16.984223960159543
Kalinga,121.29112540778576,17.43392161566899
La Union,120.42776348483275,16.581053682521492
Laguna,121.32506581810081,14.283311735046189
Lanao del Norte,124.04454349188653,8.021525500581582
Lanao del Sur,124.33400291038862,7.809100525843615
Leyte,124.75380199417454,10.977255630905013
Maguindanao,124.37615708612329,7.024148474996055
Marinduque,121.97210561361504,13.391572974971956
Masbate,123.55200126095637,12.294849970245707
Metropolitan Manila,121.0325745379374,14.598735657228623
Misamis Occidental,123.68874188039771,8.325051639115436
Misamis Oriental,124.81153713920146,8.646484443457803
Mountain Province,121.13238001082506,17.10047798220706
Negros Occidental,122.98477921400986,10.301588328505913
Negros Oriental,123.03881671044655,9.601502097755898
North Cotabato,124.85195038647383,7.214721296470384
Northern Samar,124.78987945699393,12.41343745845742
Nueva Ecija,121.02257964852348,15.617510777723078
Nueva Vizcaya,121.15117919895452,16.31179384447851
Occidental Mindoro,120.88871630470291,12.977118641247328
Oriental Mindoro,121.26324457205844,12.962504956131196
Palawan,118.75242057114103,9.988443611318473
Pampanga,120.66514316657022,15.057123557042399
Pangasinan,120.31164425337582,16.000331570420173
Quezon,121.96893146273881,14.16234646340632
Quirino,121.58881009124161,16.292153884636477
Rizal,121.27008770822557,14.628615739952956
Romblon,122.23285828241501,12.437501338088556
Samar,124.94054745545834,11.842811353053863
Sarangani,125.14699062494653,6.021534400815231
Siquijor,123.5884159169584,9.185076537547992
Sorsogon,123.92901894751851,12.85392569058056
South Cotabato,124.84600611169094,6.282545830146836
Southern Leyte,125.05223812900361,10.292363780951378
Sultan Kudarat,124.47424483213139,6.545996995666163
Sulu,121.05049363121704,5.955700339103891
Surigao del Norte,125.73260004888266,9.662851136798011
Surigao del Sur,126.10438498630107,8.82147559957582
Tarlac,120.47872514441089,15.47881414882837
Tawi-Tawi,119.86100026061878,5.26205380719416
Zambales,120.14370605541804,15.28858011574344
Zamboanga del Norte,122.81301270928851,8.052017914006894
Zamboanga del Sur,122.9928593831504,7.6735167724035165
Zamboanga Sibugay,122.71341362227678,7.677798847532178
